Date,TripsToday,CumulativeTrips,MilesToday,CumulativeMiles,TotalAnnualMembers,AnnualToday,OneDayPass,SevenDayPass,ThreeDayPass,,
5/27/13,9767,9767,21533,21533,17216,2043,0,0,0,,
5/28/13,5215,14982,8780,30313,19816,2598,0,0,0,,
5/29/13,10981,25963,21898,52211,21986,2167,0,0,0,,
5/30/13,9850,35813,20321,72532,23985,1998,0,0,0,,
5/31/13,9253,45066,20243,92775,25615,1630,0,0,0,,
6/1/13,9852,54918,26347,119122,26756,1141,0,0,0,,
6/2/13,17590,72508,52143,171266,28253,1496,4723,289,0,,
6/3/13,8599,81107,18907,190173,29616,1363,1160,221,0,,
6/4/13,17589,98696,48666,238839,31095,1479,2922,394,0,,
6/5/13,17433,116129,44917,283757,32620,1530,2821,279,0,,
6/6/13,13732,129861,30987,314743,33954,1334,1872,210,0,,
6/7/13,1393,131254,2065,316809,34449,495,66,11,0,,
6/8/13,19899,151153,54665,371473,35233,784,5013,230,0,,
6/9/13,23236,174389,71604,443077,36295,1062,5772,275,0,,
6/10/13,4504,178893,10138,453215,37086,791,290,82,0,,
6/11/13,14638,193531,34630,487845,37894,808,1836,273,0,,
6/12/13,18960,212491,45714,533559,38805,911,2767,316,0,,
6/13/13,8782,221273,15075,548634,39442,637,701,119,0,,
6/14/13,16423,237696,33980,582614,40078,636,2268,211,0,,
6/15/13,27276,264972,72792,655406,40702,624,6107,319,0,,
6/16/13,23610,288582,59573,714979,41541,839,4413,314,0,,
6/17/13,21278,309860,43897,758876,42564,1023,2378,530,0,,
6/18/13,14826,324686,27670,786546,43394,830,1236,277,0,,
6/19/13,26267,350953,54405,840951,44223,829,2678,607,0,,
6/20/13,28994,379947,59935,900886,45024,801,2814,421,0,,
6/21/13,30660,410607,64872,965759,45815,791,3465,408,0,,
6/22/13,31885,442492,80433,1046191,46448,633,5902,383,0,,
6/23/13,30653,473145,76450,1122641,47203,755,4959,279,0,,
6/24/13,26636,499781,50664,1173305,48135,932,1844,386,0,,
6/25/13,30426,530207,56075,1229380,48915,780,1937,343,0,,
6/26/13,32322,562529,59663,1289043,49665,750,2000,301,0,,
6/27/13,28094,590623,55260,1344304,50355,690,1680,223,0,,
6/28/13,30595,621218,58037,1402340,51029,674,2268,291,0,,
6/29/13,32947,654165,77226,1479567,51505,476,4895,296,0,,
6/30/13,27285,681450,61052,1540619,52125,620,3592,178,0,,
7/1/13,20151,701601,36168,1576787,52722,597,846,167,0,,
7/2/13,26682,728283,48733,1625520,53310,588,1435,219,0,,
7/3/13,25509,753792,46016,1671537,53748,438,1419,189,0,,
7/4/13,26004,779796,63674,1735210,54073,325,4219,257,0,,
7/5/13,25541,805337,53419,1788629,54507,434,2803,215,0,,
7/6/13,23697,829034,53761,1842391,54843,336,3178,172,0,,
7/7/13,23688,852722,50634,1893025,55284,441,2703,186,0,,
7/8/13,26063,878785,49831,1942856,55971,687,1453,321,0,,
7/9/13,30929,909714,55499,1998355,56610,639,1379,287,0,,
7/10/13,30705,940419,55948,2054304,57194,584,1435,223,0,,
7/11/13,29689,970108,56393,2110697,57725,531,1478,196,0,,
7/12/13,22817,992925,39970,2150667,58133,408,1096,118,0,,
7/13/13,30132,1023057,64833,2215501,58495,362,3285,213,0,,
7/14/13,33545,1056602,75020,2290520,58954,459,3681,224,0,,
7/15/13,32565,1089167,57755,2348275,59593,639,1382,273,0,,
7/16/13,34757,1123924,61856,2410132,60129,536,1288,251,0,,
7/17/13,35172,1159096,60698,2470829,60619,490,1303,201,0,,
7/18/13,33222,1192318,56228,2527057,61008,389,1094,143,0,,
7/19/13,30667,1222985,52784,2579841,61366,358,1389,164,0,,
7/20/13,29145,1252130,58799,2638640,61652,286,2811,169,0,,
7/21/13,34694,1286824,76310,2714950,62074,422,3502,191,0,,
7/22/13,29787,1316611,50145,2765095,62577,503,1005,184,0,,
7/23/13,37296,1353907,65911,2831006,63026,449,1390,220,0,,
7/24/13,40699,1394606,74469,2905475,63466,440,1708,211,0,,
7/25/13,36207,1430813,62188,2967663,63822,356,1163,144,0,,
7/26/13,39499,1470312,72710,3040373,64182,360,2073,176,0,,
7/27/13,37131,1507443,82270,3122643,64495,313,4259,197,0,,
7/28/13,26780,1534223,53562,3176204,64884,389,2391,137,0,,
7/29/13,40018,1574241,73425,3249630,65381,497,1712,275,0,,
7/30/13,42982,1617223,77917,3327547,65855,474,1701,237,0,,
7/31/13,42745,1659968,76982,3404528,66310,455,1692,186,0,,
8/1/13,23025,1682993,34794,3439323,66644,334,415,73,0,,
8/2/13,40654,1723647,75390,3514713,67027,383,2302,230,0,,
8/3/13,34173,1757820,73300,3588013,67293,266,3417,180,0,,
8/4/13,40103,1797923,93191,3681204,67685,392,4547,261,0,,
8/5/13,41759,1839682,78764,3759968,68242,557,1924,276,0,,
8/6/13,42974,1882656,79262,3839230,68744,502,1778,222,0,,
8/7/13,39120,1921776,66709,3905939,69137,393,1261,183,0,,
8/8/13,32063,1953839,51665,3957604,69436,299,946,137,0,,
8/9/13,32926,1986765,54952,4012556,69722,286,1269,134,0,,
8/10/13,43368,2030133,103744,4116300,69996,274,5567,223,0,,
8/11/13,37161,2067294,83004,4199304,70368,372,3826,234,0,,
8/12/13,35646,2102940,62896,4262200,70799,431,1314,257,0,,
8/13/13,25569,2128509,44374,4306574,71121,322,787,111,0,,
8/14/13,43437,2171946,78481,4385055,71481,360,1727,219,0,,
8/15/13,42922,2214868,76299,4461354,71862,381,1733,179,0,,
8/16/13,41251,2256119,77044,4538398,72207,345,2085,170,0,,
8/17/13,44284,2300403,104290,4642688,72471,264,5729,217,0,,
8/18/13,31512,2331915,62738,4705426,72846,375,2524,160,0,,
8/19/13,37922,2369837,65704,4771130,73299,453,1395,236,0,,
8/20/13,41155,2410992,72697,4843827,73703,404,1491,233,0,,
8/21/13,41718,2452710,73198,4917024,74080,377,1365,176,0,,
8/22/13,30747,2483457,51255,4968280,74400,320,787,128,0,,
8/23/13,38716,2522173,72175,5040455,74713,313,1965,157,0,,
8/24/13,38049,2560222,81052,5121507,75012,299,3933,194,0,,
8/25/13,36641,2596863,80733,5202240,75372,360,3626,199,0,,
8/26/13,34812,2631675,61473,5263713,75756,384,1098,190,0,,
8/27/13,39258,2670933,67086,5330798,76123,367,1222,188,0,,
8/28/13,32262,2703195,53456,5384254,76402,279,765,102,0,,
8/29/13,38626,2741821,65917,5450171,76669,267,1363,141,0,,
8/30/13,36870,2778691,67249,5517420,76922,253,1872,165,0,,
8/31/13,28547,2807238,60049,5577469,77133,211,3064,174,0,,
9/1/13,28330,2835568,61096,5638565,77331,198,3273,148,0,,
9/2/13,24094,2859662,46060,5684625,77609,278,1829,121,0,,
9/3/13,36963,2896625,62807,5747431,77997,388,1015,157,0,,
9/4/13,42085,2938710,73701,5821132,78388,391,1263,176,0,,
9/5/13,40817,2979527,70544,5891676,78726,338,1354,185,0,,
9/6/13,40930,3020457,72124,5963800,79010,284,1556,155,0,,
9/7/13,38950,3059407,80080,6043881,79273,263,3600,200,0,,
9/8/13,37536,3096943,76326,6120207,79649,376,3025,182,0,,
9/9/13,40539,3137482,70713,6190920,80049,400,1060,203,0,,
9/10/13,42038,3179520,71115,6262034,80350,301,986,182,0,,
9/11/13,40533,3220053,67437,6329471,80645,295,1046,147,0,,
9/12/13,35065,3255118,56447,6385918,80910,265,756,126,0,,
9/13/13,41200,3296318,70849,6456767,81164,254,1375,145,0,,
9/14/13,35363,3331681,69180,6525948,81370,206,3035,153,0,,
9/15/13,35843,3367524,72551,6598498,81650,280,3010,167,0,,
9/16/13,35106,3402630,56195,6654693,81970,320,781,149,0,,
9/17/13,43117,3445747,70847,6725540,82207,237,971,170,0,,
9/18/13,42936,3488683,71355,6796896,82480,273,1078,152,0,,
9/19/13,43920,3532603,73659,6870554,82735,255,1209,154,0,,
9/20/13,43895,3576498,75094,6945648,82959,224,1631,156,0,,
9/21/13,35348,3611846,70321,7015969,83161,202,3096,132,0,,
9/22/13,33105,3644951,64758,7080726,83412,251,2479,136,0,,
9/23/13,38963,3683914,64157,7144883,83689,276,1006,171,0,,
9/24/13,42954,3726868,70402,7215286,83922,233,1158,153,0,,
9/25/13,42639,3769507,70500,7285786,84130,208,966,133,0,,
9/26/13,42247,3811754,68646,7354431,84305,175,973,117,0,,
9/27/13,41368,3853122,68977,7423409,84519,213,1321,137,0,,
9/28/13,38939,3892061,78400,7501809,84712,193,3452,126,0,,
9/29/13,36040,3928101,70652,7572461,84913,201,2718,161,0,,
9/30/13,41079,3969180,67168,7639629,85236,323,1023,140,0,,
10/1/13,44772,4013952,73665,7713294,85494,258,1004,0,0,,
10/2/13,45667,4059619,76149,7789442,85773,279,1129,0,0,,
10/3/13,44472,4104091,72635,7862077,86333,560,1076,0,0,,
10/4/13,44089,4148180,74223,7936300,87112,779,1434,0,0,,
