,root,node,value,borough,color
0,Astoria,Astoria,91,Queens,#AAAAAA
1,Astoria,Queensbridge-Ravenswood-Long Island City,28,Queens,#AAAAAA
2,Astoria,Old Astoria,23,Queens,#AAAAAA
3,Astoria,Steinway,22,Queens,#AAAAAA
4,Astoria,Hunters Point-Sunnyside-West Maspeth,13,Queens,#AAAAAA
17,Battery Park City-Lower Manhattan,Battery Park City-Lower Manhattan,1647,Manhattan,#333
18,Battery Park City-Lower Manhattan,SoHo-TriBeCa-Civic Center-Little Italy,985,Manhattan,#333
19,Battery Park City-Lower Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,577,Manhattan,#333
20,Battery Park City-Lower Manhattan,West Village,566,Manhattan,#333
21,Battery Park City-Lower Manhattan,Chinatown,383,Manhattan,#333
22,Battery Park City-Lower Manhattan,Lower East Side,254,Manhattan,#333
23,Battery Park City-Lower Manhattan,East Village,154,Manhattan,#333
24,Battery Park City-Lower Manhattan,Clinton,122,Manhattan,#333
25,Battery Park City-Lower Manhattan,Murray Hill-Kips Bay,114,Manhattan,#333
26,Battery Park City-Lower Manhattan,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,109,Manhattan,#333
27,Battery Park City-Lower Manhattan,Midtown-Midtown South,94,Manhattan,#333
28,Battery Park City-Lower Manhattan,Stuyvesant Town-Cooper Village,73,Manhattan,#333
29,Battery Park City-Lower Manhattan,Turtle Bay-East Midtown,66,Manhattan,#333
30,Battery Park City-Lower Manhattan,Lincoln Square,55,Manhattan,#333
31,Battery Park City-Lower Manhattan,North Side-South Side,44,Manhattan,#333
32,Battery Park City-Lower Manhattan,Gramercy,38,Manhattan,#333
33,Battery Park City-Lower Manhattan,Upper West Side,37,Manhattan,#333
34,Battery Park City-Lower Manhattan,Brooklyn Heights-Cobble Hill,35,Manhattan,#333
35,Battery Park City-Lower Manhattan,Fort Greene,20,Manhattan,#333
36,Battery Park City-Lower Manhattan,park-cemetery-etc-Manhattan,20,Manhattan,#333
37,Battery Park City-Lower Manhattan,Park Slope-Gowanus,19,Manhattan,#333
38,Battery Park City-Lower Manhattan,Lenox Hill-Roosevelt Island,11,Manhattan,#333
53,Bedford,Bedford,166,Brooklyn,#34DDDD
54,Bedford,Fort Greene,66,Brooklyn,#34DDDD
55,Bedford,Clinton Hill,65,Brooklyn,#34DDDD
56,Bedford,North Side-South Side,54,Brooklyn,#34DDDD
57,Bedford,Stuyvesant Heights,48,Brooklyn,#34DDDD
58,Bedford,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,39,Brooklyn,#34DDDD
