tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
400,07/16/18 13:20:10,07/16/18 13:26:51,128,MacDougal St & Prince St,40.72710258,-74.00297088,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,26080,Subscriber,1986,1
383,07/14/18 02:10:50,07/14/18 02:17:13,146,Hudson St & Reade St,40.71625008,-74.0091059,360,William St & Pine St,40.70717936,-74.00887308,26484,Subscriber,1981,1
413,07/20/18 17:41:46,07/20/18 17:48:39,79,Franklin St & W Broadway,40.71911552,-74.00666661,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,29085,Subscriber,1968,1
1536,07/11/18 13:33:16,07/11/18 13:58:53,143,Clinton St & Joralemon St,40.69239502,-73.99337909,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,15826,Customer,1969,0
776,07/12/18 17:52:38,07/12/18 18:05:34,128,MacDougal St & Prince St,40.72710258,-74.00297088,306,Cliff St & Fulton St_1,40.70823502,-74.00530063,33052,Subscriber,1974,1
405,07/19/18 07:12:34,07/19/18 07:19:19,143,Clinton St & Joralemon St,40.69239502,-73.99337909,3422,Columbia St & Degraw St,40.6859296,-74.00242364,30575,Subscriber,1986,2
1167,07/01/18 14:50:00,07/01/18 15:09:28,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,387,Centre St & Chambers St,40.71273266,-74.0046073,25980,Subscriber,1994,1
236,07/31/18 19:33:16,07/31/18 19:37:13,79,Franklin St & W Broadway,40.71911552,-74.00666661,417,Barclay St & Church St,40.71291224,-74.01020234,27564,Subscriber,1967,1
1909,07/22/18 13:35:55,07/22/18 14:07:44,128,MacDougal St & Prince St,40.72710258,-74.00297088,525,W 34 St & 11 Ave,40.75594159,-74.0021163,26881,Customer,1969,0
748,07/14/18 23:01:09,07/14/18 23:13:38,150,E 2 St & Avenue C,40.7208736,-73.98085795,382,University Pl & E 14 St,40.73492695,-73.99200509,31564,Subscriber,1988,1
522,07/02/18 13:34:33,07/02/18 13:43:15,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,238,Bank St & Washington St,40.7361967,-74.00859207,19249,Subscriber,1976,1
1416,07/29/18 16:36:56,07/29/18 17:00:33,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,405,Washington St & Gansevoort St,40.739323,-74.008119,25493,Customer,1995,1
1868,07/21/18 12:16:06,07/21/18 12:47:15,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,486,Broadway & W 29 St,40.7462009,-73.98855723,21452,Customer,1980,0
423,07/23/18 17:14:04,07/23/18 17:21:08,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,20017,Subscriber,1987,2
265,07/10/18 08:40:30,07/10/18 08:44:55,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,128,MacDougal St & Prince St,40.72710258,-74.00297088,32532,Subscriber,1971,1
881,07/11/18 08:51:01,07/11/18 09:05:43,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,402,Broadway & E 22 St,40.7403432,-73.98955109,30191,Subscriber,1994,2
1216,07/04/18 01:41:46,07/04/18 02:02:02,128,MacDougal St & Prince St,40.72710258,-74.00297088,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,27389,Subscriber,1981,2
433,07/01/18 23:33:29,07/01/18 23:40:43,128,MacDougal St & Prince St,40.72710258,-74.00297088,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,32196,Subscriber,1990,1
1330,07/13/18 13:22:07,07/13/18 13:44:18,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,3458,W 55 St & 6 Ave,40.76309387,-73.97835016,29956,Subscriber,1985,1
251,07/05/18 23:02:35,07/05/18 23:06:47,143,Clinton St & Joralemon St,40.69239502,-73.99337909,407,Henry St & Poplar St,40.700469,-73.991454,29021,Subscriber,1978,1
452,07/02/18 19:03:53,07/02/18 19:11:25,128,MacDougal St & Prince St,40.72710258,-74.00297088,382,University Pl & E 14 St,40.73492695,-73.99200509,28581,Subscriber,1992,2
6709,07/19/18 21:47:43,07/19/18 23:39:32,127,Barrow St & Hudson St,40.73172428,-74.00674436,3463,E 16 St & Irving Pl,40.73536706,-73.98797393,21561,Customer,1969,0
484,07/16/18 19:47:23,07/16/18 19:55:28,146,Hudson St & Reade St,40.71625008,-74.0091059,2009,Catherine St & Monroe St,40.71117444,-73.99682619,18598,Subscriber,1993,2
386,07/25/18 16:00:22,07/25/18 16:06:48,128,MacDougal St & Prince St,40.72710258,-74.00297088,79,Franklin St & W Broadway,40.71911552,-74.00666661,17440,Subscriber,1956,1
1439,07/15/18 16:38:01,07/15/18 17:02:01,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3165,Central Park West & W 72 St,40.77579377,-73.97620574,14959,Subscriber,1973,1
1688,07/10/18 19:13:48,07/10/18 19:41:57,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,397,Fulton St & Clermont Ave,40.68415748,-73.96922273,32988,Subscriber,1992,1
1105,07/10/18 08:41:36,07/10/18 09:00:01,128,MacDougal St & Prince St,40.72710258,-74.00297088,304,Broadway & Battery Pl,40.70463334,-74.01361706,27602,Subscriber,1967,2
336,07/03/18 10:29:38,07/03/18 10:35:15,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,19417,Subscriber,1974,2
344,07/19/18 07:13:01,07/19/18 07:18:46,79,Franklin St & W Broadway,40.71911552,-74.00666661,195,Liberty St & Broadway,40.70905623,-74.01043382,18405,Subscriber,1953,2
248,07/01/18 09:28:00,07/01/18 09:32:09,127,Barrow St & Hudson St,40.73172428,-74.00674436,223,W 13 St & 7 Ave,40.73781509,-73.99994661,29046,Subscriber,1992,1
797,07/07/18 14:17:09,07/07/18 14:30:26,128,MacDougal St & Prince St,40.72710258,-74.00297088,486,Broadway & W 29 St,40.7462009,-73.98855723,17070,Customer,1990,1
684,07/09/18 21:39:07,07/09/18 21:50:31,127,Barrow St & Hudson St,40.73172428,-74.00674436,377,6 Ave & Canal St,40.72243797,-74.00566443,15176,Subscriber,1971,1
213,07/11/18 11:47:16,07/11/18 11:50:49,151,Cleveland Pl & Spring St,40.72210379,-73.99724901,229,Great Jones St,40.72743423,-73.99379025,28373,Subscriber,1982,1
438,07/09/18 09:53:23,07/09/18 10:00:42,146,Hudson St & Reade St,40.71625008,-74.0091059,355,Bayard St & Baxter St,40.71602118,-73.99974372,17867,Subscriber,1952,1
1811,07/08/18 23:17:48,07/08/18 23:48:00,72,W 52 St & 11 Ave,40.76727216,-73.99392888,347,Greenwich St & W Houston St,40.728846,-74.008591,32881,Customer,1969,0
349,07/23/18 18:08:33,07/23/18 18:14:23,127,Barrow St & Hudson St,40.73172428,-74.00674436,470,W 20 St & 8 Ave,40.74345335,-74.00004031,25540,Subscriber,1974,1
259,07/12/18 19:04:58,07/12/18 19:09:18,119,Park Ave & St Edwards St,40.69608941,-73.97803415,239,Willoughby St & Fleet St,40.69196566,-73.9813018,29024,Subscriber,1977,1
377,07/18/18 12:25:24,07/18/18 12:31:42,143,Clinton St & Joralemon St,40.69239502,-73.99337909,3311,Columbia St & Kane St,40.68763155,-74.0016256,17691,Subscriber,1975,1
